"pixel_x","pixel_y","cell_ID"
9397.4,-8566.8,"41x33"
9403,-8964.3,"41x35"
9393.9,-9366.9,"41x37"
9396.1,-9764.3,"41x39"
9398.1,-10167.7,"41x41"
9402.8,-10567.3,"41x43"
9394.9,-10967.4,"41x45"
9395.8,-11365.5,"41x47"
9580.3,-5968.1,"42x20"
9579.1,-6365.5,"42x22"
9579.2,-6765.3,"42x24"
9584.2,-7167.5,"42x26"
9578.4,-7558.4,"42x28"
9573.6,-7961.6,"42x30"
9580.4,-8361.6,"42x32"
9585.7,-8762.4,"42x34"
9584.2,-9168.9,"42x36"
9572.7,-9564.9,"42x38"
9576.8,-9967.4,"42x40"
9583.7,-10366.3,"42x42"
9582.9,-10766.3,"42x44"
9756.7,-6167,"43x21"
9758.2,-6564.9,"43x23"
9763.5,-6972,"43x25"
9763,-7364.4,"43x27"
9756,-7761.7,"43x29"
9761.5,-8164.2,"43x31"
9760.8,-8562.5,"43x33"
9766.8,-8962.2,"43x35"
9754.4,-9365.1,"43x37"
9756.7,-9763.9,"43x39"
9759.2,-10163.7,"43x41"
9764.6,-10567.5,"43x43"
9754.2,-10967.9,"43x45"
9942.4,-6767.8,"44x24"
9943.8,-7162,"44x26"
9939.6,-7560.6,"44x28"
9937.8,-7964.1,"44x30"
9940.4,-8361.1,"44x32"
9944.1,-8762.7,"44x34"
9938,-9159,"44x36"
9934.1,-9561.8,"44x38"
9943.4,-9962.7,"44x40"
9942.3,-10364.7,"44x42"
9943.1,-10764.2,"44x44"
10129.9,-7361.9,"45x27"
10115.4,-7764.5,"45x29"
10119.2,-8162.5,"45x31"
10127.6,-8552,"45x33"
10122.3,-8965.5,"45x35"
10112.6,-9366.5,"45x37"
10104.4,-9766.1,"45x39"
10120.5,-10166.5,"45x41"
10124.2,-10570.4,"45x43"
10292.9,-7972,"46x30"
10295.3,-8373.9,"46x32"
10292.5,-8770.6,"46x34"
10299.5,-9166.3,"46x36"
10298.9,-9563.2,"46x38"
10291.2,-9967.6,"46x40"
10298,-10373.5,"46x42"
10302.3,-10775.1,"46x44"
10474.4,-8951.8,"47x35"
10478.8,-9366,"47x37"
10475.6,-9763.1,"47x39"
10474.6,-10166.3,"47x41"
10485.5,-10578.6,"47x43"
10657.9,-9164.8,"48x36"
10650.5,-9561.6,"48x38"
10653.8,-9965.4,"48x40"
10663.3,-10371.9,"48x42"
10665.3,-10770.1,"48x44"
