ID	X	Y
cell_4343	10933.2732843872	22297.3621430336
cell_5112	8341.23292944198	33050.065725236
cell_7632	1069.86014852584	33922.7874973688
cell_2859	13865.0506040343	11927.0994098312
cell_3110	16575.5708367615	3477.29981722598
cell_5136	7935.76874270197	31443.3767217181
cell_3834	11461.8866375048	30994.4540260549
cell_5703	3253.91588723562	43303.7331780365
cell_7648	674.464217000259	32493.9151890327
cell_2472	14130.9847567269	25994.3418375234
cell_1009	19112.0518183394	16694.028553431
cell_2264	13660.4106472525	31179.9657444713
cell_7837	148.637390244534	27985.6209991895
cell_4253	9918.9928417254	25432.5016444087
cell_2215	14918.9276996032	29172.6771220319
cell_4491	13000.5820466041	677.678751654596
cell_706	17557.4287583777	28216.6442580751
cell_621	19766.8283564493	28982.1365411824
cell_4750	7448.40614164946	39171.1698745551
cell_2444	14691.6025383255	25148.8181824558
cell_4945	7785.525706958	35843.9477849408
cell_2137	16953.385058985	27901.1458629157
cell_4392	8840.77793099788	22137.5500194235
cell_487	18403.5730351801	32749.145016148
cell_690	17831.1602356719	27578.8453947868
cell_4843	5467.09927853578	42176.3124109
cell_1745	15757.0330037605	36074.6076560704
cell_1046	18079.1294698523	17272.0768827991
cell_5790	1404.92326234913	46265.2336957868
cell_4243	10343.943475437	24818.5200873796
cell_2784	13009.1975219466	17241.5342177022
cell_4020	11595.5725076678	27381.8120487269
cell_3478	9940.23587654703	41618.1508099877
cell_5508	6717.43200047705	26922.8503966719
cell_1863	13546.6471179322	37090.8732773646
cell_2489	13864.6390165655	26333.0615168113
cell_3281	13000.5820466041	677.678751654596
cell_860	19076.110609283	19322.0657463273
cell_852	19740.784588828	19190.5858173799
cell_3576	12643.8316519766	36160.3976559356
cell_3702	9917.38491483015	34735.4026782462
cell_3735	9182.08254755282	36792.9231746922
cell_4599	6733.8472203638	45451.4070698674
cell_5845	4768.16596903576	42216.6553557989
cell_5738	2482.37314083182	42636.2452787041
cell_2242	14098.8029460592	27973.3516040906
cell_1588	15814.6004338972	41593.1874151266
cell_4883	9182.08254755282	36792.9231746922
cell_6289	3890.58771489381	33395.5740883084
cell_4870	4768.16596903576	42216.6553557989
cell_2852	14770.1242344201	14554.6031812559
cell_5688	3594.90740718474	45932.7383431427
cell_7341	944.821784925341	35969.6894958594
cell_2787	12956.9665802709	16739.5785145769
cell_4866	4879.39187261938	42357.328559734
cell_4006	12027.7145321065	29094.1799740947
cell_6161	2289.3481639649	35153.1538580791
cell_1091	16738.2431468312	15098.0567855834
cell_856	19564.165920287	19118.0786787895
cell_2462	14287.8396564626	24951.4085617492
cell_2520	13147.7105333646	27031.5352552575
cell_1908	12653.3722544845	36154.9351019343
cell_850	19976.9645589658	19460.9517711504
cell_16	22447.2203240791	34810.5420220969
cell_3597	12164.0190134026	37025.616602838
cell_4667	4645.32722715086	43437.8066180063
cell_5310	8631.65823242188	30252.0703201843
cell_2258	13672.6824154897	27715.3212643024
cell_5841	4879.39187261938	42357.328559734
cell_4410	12956.9665802709	16739.5785145769
cell_1835	14013.5332841425	36418.8547127727
cell_2857	14267.2854736607	11515.6031490637
cell_4115	9798.18484811985	28811.6088589371
cell_1241	20587.1464023542	10250.2968778078
cell_5735	2519.60693036795	42806.0071506407
cell_1619	14608.5425960412	41529.3674937616
cell_4602	6620.69601622758	44859.2309605654
cell_4065	10836.0466332894	28158.049094868
cell_2122	12659.3390935796	31394.9606603642
cell_6209	944.821784925341	35969.6894958594
cell_3737	9110.90629274108	35106.2175795665
cell_4574	7424.27405013095	45067.1109118201
cell_1715	16408.6618887103	37988.7904194052
cell_3334	9296.08880861174	44520.6886904341
cell_4979	6967.93824245788	37080.1697485933
cell_1455	18261.3974234686	6063.09145461793
cell_6042	779.284932899984	39530.2858052102
cell_4733	7789.64107426691	38998.6119675988
cell_5071	9112.42997669116	32896.0763496442
cell_3742	9016.35758034641	35422.2001411487
cell_6091	4177.55650956693	36961.7953477254
cell_5127	8106.30460245785	33753.4266950763
cell_1473	18101.9374607401	5295.24344857477
cell_5540	5213.63339759305	24880.7830730608
cell_3073	17308.2060616772	4144.29796635535
cell_1309	19053.9930976555	7836.84561603607
cell_1337	18377.4109417905	8201.2107154867
cell_123	21207.1251139117	34001.0629596903
cell_6605	104.536257490803	48290.2358621409
cell_3922	9112.42997669116	32896.0763496442
cell_1494	17733.9647373073	4380.24982399586
cell_1347	18178.2903047317	7214.84113999871
cell_1352	18120.7039027935	8270.8799988925
cell_1338	18360.2866675467	10473.9121580573
cell_4527	8987.44273574998	43606.1537660807
cell_3470	10006.4890520761	40853.0158296638
cell_4882	9229.218010668	37114.9650408285
cell_29	21954.1883300435	35912.5277384227
cell_1328	18542.8881660728	8600.80439630927
cell_7060	779.284932899984	39530.2858052102
cell_1653	13550.9406761027	39067.1636334018
cell_5137	7910.94267329877	32099.8450823478
cell_1353	18091.1374794133	8127.97449092491
cell_1111	20177.9624798931	10562.4067435647
cell_5031	5419.44025055944	35278.1667172421
cell_6381	1924.30074353739	33625.1268081568
cell_185	16739.2518967937	39410.0321523797
cell_1595	15402.2881637129	40953.0648760891
cell_6537	5218.60095986478	24883.2507882947
cell_3207	14903.0424078168	1559.18664884308
cell_1355	18035.8989541584	7500.57242742435
cell_2109	12952.9185766647	33103.4019169241
cell_1447	18432.0248913888	2987.23112198707
cell_3410	11554.0086456651	43065.5745173032
cell_3896	9819.00283462668	34173.1912534477
cell_2146	16671.7828298173	26593.7116836754
cell_3734	9229.218010668	37114.9650408285
cell_286	17959.7360313714	37292.4223355141
cell_3343	8987.44273574998	43606.1537660807
cell_3932	8890.50553317209	33163.0084800957
cell_1343	18289.9662273013	10132.0423365482
cell_1472	18103.4147264464	5015.12409125497
cell_1540	16736.1760603399	3934.89106515919
cell_1484	17870.1825354637	6755.97221608688
cell_1342	18320.2260374469	8773.22094407308
cell_1164	18702.3115398009	10593.0458883099
cell_3661	10727.7320849574	35004.3858420551
cell_3382	12498.2762213816	40500.5257426147
cell_1616	14671.9629938159	41708.0802703337
cell_5701	3300.39238950645	47234.7130702456
cell_1335	18418.7889589847	9799.26783597476
cell_1457	18271.0197675497	6422.23060550977
cell_1476	18077.629165587	2540.59224989264
cell_4736	7774.06201003622	40543.1628199757
cell_4518	9296.08880861174	44520.6886904341
cell_4874	4660.81041082263	40080.9709083312
cell_1450	18331.1765359578	2308.7921853605
cell_3770	12952.9185766647	33103.4019169241
cell_4622	6216.58304290139	43699.5410992606
cell_3102	16736.1760603399	3934.89106515919
cell_6170	1925.93827849063	36950.8441556802
cell_4751	7434.75630300012	42741.2560196215
cell_1326	18541.6309170319	8263.85147931102
cell_1633	14383.1841767698	39245.2216351546
cell_1778	15119.2702154768	35957.2104578518
cell_143	20715.2208413029	32998.4570336814
cell_4541	8620.33814292931	43948.7912911112
cell_348	21207.1251139117	34001.0629596903
cell_5849	4660.81041082263	40080.9709083312
cell_1331	18484.7072181306	8961.63786204298
cell_5591	3933.24560507121	47350.0425310966
cell_5165	7309.43576877431	33950.5060205055
cell_4545	8609.60270783557	44049.8761774386
cell_6552	4219.54685409701	26194.1464018185
cell_1512	17308.2060616772	4144.29796635535
cell_1480	18001.1652600515	4801.26234018221
cell_4929	8196.82633101572	36530.3807320902
cell_1470	18133.8201920596	6589.70323684139
cell_248	19198.344110937	36993.1848774359
cell_5081	8890.50553317209	33163.0084800957
cell_2201	15222.3667325514	27213.9173726396
