563	1299	9
566	267	10
567	1328	9
575	773	13
574	443	16
578	124	6
582	670	8
590	67	7
611	1201	7
621	616	10
626	1000	9
635	813	9
639	1087	7
648	1067	7
652	1197	11
710	1244	8
713	1336	8
722	54	8
723	1286	7
728	1051	7
727	1101	6
730	1030	9
732	1158	12
732	1185	10
766	1211	13
774	1139	13
774	1171	7
784	996	10
787	1324	6
788	1503	7
793	1368	7
811	1307	12
826	1376	7
831	1394	15
829	1299	8
864	1236	7
868	1017	6
888	1461	8
895	1309	6
900	1336	8
940	1016	7
1024	931	10
7	171	11
9	1026	7
17	1468	9
40	586	10
45	953	8
50	425	10
54	881	10
66	520	10
63	1500	10
72	1467	6
73	899	8
84	996	7
93	1332	8
93	1152	8
96	525	11
103	1521	10
114	534	11
122	755	11
129	1077	9
156	109	6
163	360	10
195	155	8
199	1176	7
201	58	11
204	1373	7
217	206	9
217	1406	7
228	327	7
240	1267	8
244	1073	10
247	223	22
256	1192	10
255	554	8
258	619	10
265	859	7
289	1011	11
296	1425	9
299	1055	26
308	1414	9
310	1087	12
312	275	9
318	25	10
326	94	9
339	782	13
343	490	6
344	1312	10
357	114	7
358	1067	12
363	47	11
366	337	6
366	623	7
372	1307	6
381	616	8
389	214	12
403	630	12
406	1389	9
409	443	11
416	558	14
430	626	10
449	721	7
455	27	15
458	87	7
459	521	8
461	418	10
475	118	10
483	410	8
489	1351	7
493	584	8
499	1155	11
500	230	10
501	351	13
510	569	8
521	53	8
523	1495	10
533	84	9
547	509	11
547	596	8
551	548	10
551	210	9
562	1317	8
565	1117	8
572	506	8
575	868	10
576	552	8
578	243	9
591	649	13
605	4	14
608	1230	9
609	920	7
615	1057	10
620	760	7
656	1227	8
658	337	10
659	853	10
659	743	9
662	874	6
669	1275	10
667	1424	17
669	857	7
694	801	9
699	594	9
697	1173	6
698	1289	8
699	918	9
710	639	8
714	1016	9
714	557	8
717	476	8
725	1117	9
727	1361	8
740	594	8
740	857	8
742	1209	9
746	533	8
745	1502	14
752	1260	7
755	1529	10
757	1056	13
763	1357	10
770	423	9
788	1195	8
797	1428	8
797	1139	13
805	270	7
812	1282	9
821	478	13
827	1475	8
839	1075	13
843	1119	9
846	1420	10
857	1054	11
860	1198	11
873	1174	9
893	1437	9
906	349	8
907	1045	17
918	953	9
936	462	11
938	1425	7
961	1250	8
993	1446	8
5	684	6
13	654	19
12	920	22
21	1108	10
22	1076	10
27	1125	14
23	1401	7
27	857	11
27	923	9
41	631	30
44	1427	10
53	78	10
54	1028	11
57	94	10
64	1053	9
66	125	9
72	857	21
82	788	15
85	1217	11
87	412	11
94	1355	10
94	1296	11
95	195	6
102	1234	10
108	1147	7
112	305	11
122	930	12
125	127	9
139	118	10
153	1063	11
163	69	6
165	1095	10
178	1250	9
178	266	9
180	140	11
188	821	10
192	1064	7
194	404	11
192	453	22
203	1191	10
208	791	9
213	1258	15
236	751	8
263	529	8
265	196	10
265	424	10
275	742	12
279	321	11
280	1050	13
283	488	6
289	68	8
292	735	11
295	246	8
303	1202	7
309	612	9
309	1514	9
325	128	17
326	385	8
327	453	11
329	514	10
327	1464	10
331	1178	9
331	1216	12
368	497	6
370	837	10
379	323	9
382	437	12
421	258	11
426	275	12
439	578	6
442	1046	11
444	401	10
444	1059	11
467	41	8
473	898	6
476	1189	10
485	803	10
485	1220	6
505	1079	14
514	375	11
531	732	13
534	192	10
535	1233	10
544	794	12
549	766	9
552	1271	9
557	242	12
572	32	9
573	348	14
574	1134	9
578	391	8
585	1367	12
589	269	10
591	844	9
595	557	7
599	357	10
604	1290	7
612	745	15
614	274	10
615	800	7
615	1099	7
619	852	9
623	239	9
629	1042	6
628	1484	11
630	508	11
635	424	9
636	1216	7
637	1429	12
648	5	9
653	1159	12
655	897	9
664	832	7
680	32	10
679	708	14
683	963	6
681	77	12
684	186	12
685	548	9
689	125	12
693	671	8
701	1227	6
703	1119	10
706	874	11
708	530	8
717	965	15
725	919	9
746	894	10
749	547	9
765	1036	9
767	1082	7
768	861	8
769	1508	8
770	526	7
770	1385	10
772	1010	8
774	1249	8
775	231	7
776	21	8
784	629	15
785	867	9
802	254	11
820	1099	10
826	156	10
829	1505	10
829	1187	8
839	1139	11
843	1269	10
842	1507	13
848	1011	10
859	862	8
882	1076	7
884	235	11
886	914	11
889	1165	9
908	371	14
922	1034	15
981	1356	10
982	557	10
1070	1392	10
1098	1368	11
1121	1385	11
1127	873	6
1249	727	7
25	539	15
33	761	6
43	301	13
48	1218	13
51	246	13
59	1255	15
59	659	6
62	988	14
77	689	8
80	1402	8
96	818	12
110	576	8
125	646	11
132	83	11
134	1501	11
132	282	11
136	374	10
154	1150	12
165	224	11
182	60	12
186	350	15
191	765	16
204	28	10
205	1130	11
207	596	12
227	1242	12
228	767	6
232	392	14
245	403	6
248	1101	10
252	243	14
266	653	12
269	14	12
271	762	14
272	1497	11
291	1314	13
301	173	11
312	425	15
312	1308	6
316	1114	14
324	1357	10
325	405	7
328	1033	8
352	469	6
351	618	8
354	425	11
359	935	8
372	314	7
372	1127	22
379	421	13
380	1344	11
386	694	12
392	1143	15
411	375	7
413	858	10
431	1326	11
434	1220	18
438	1116	8
448	882	16
454	628	7
471	210	11
473	623	11
480	2	10
477	1466	11
490	543	12
498	414	10
510	314	12
511	715	6
522	630	9
529	808	12
