	ACOB	OBDOP1	OBDOP2-OBINH123	OBINH4	OBINH5	OBNBL12	OBNBL3	OBNBL45	OEC
Uqcr10	0	0	0	0	1	0	0	0	0
Cd63	1	0	0	0	0	0	0	0	1
Nsg1	0	0	0	0	0	0	1	0	0
Fxyd1	1	0	0	0	0	0	0	0	1
Golga7	0	0	0	0	0	0	0	0	1
Kank3	0	0	1	0	0	0	0	0	0
Tspan13	0	0	0	0	0	1	0	0	0
Islr	1	0	0	0	0	0	0	0	0
Nell2	0	0	0	0	0	0	0	0	1
Ptgds	0	0	0	0	0	0	0	0	1
Prss56	0	0	0	0	0	0	0	0	1
Prok2	0	0	0	1	0	0	0	0	0
Higd1a	0	0	0	0	1	0	0	0	0
Lxn	1	0	0	0	0	0	0	0	0
Mest	0	0	0	0	0	0	0	0	1
Hnrnpk	0	0	0	0	0	0	1	0	0
Ndufa12	0	0	0	0	1	0	0	0	0
S100a16	1	0	0	0	0	0	0	0	1
6430548M08Rik	0	0	0	0	1	0	0	0	0
Hmgcs2	0	0	0	0	0	0	0	0	1
Fabp5	0	0	0	0	0	0	1	0	0
Stmn3	0	0	0	0	0	1	0	0	0
Tprkb	1	0	0	0	0	0	0	0	0
Mapk1	0	0	1	0	0	0	0	0	0
Crip1	0	0	0	0	0	0	0	0	1
Nrxn3	0	0	1	0	0	0	0	0	0
Cisd1	0	1	0	0	1	0	0	0	0
Lurap1l	0	0	0	0	0	0	0	0	1
Mlc1	1	0	0	0	0	0	0	0	0
Eomes	0	0	0	0	0	1	0	0	0
Dclk1	0	0	1	0	0	0	0	0	0
Mtss1l	1	0	0	0	0	0	0	0	0
Rpl32	0	0	0	0	0	0	1	0	0
Bex2	0	1	0	0	0	0	0	0	0
Prkar1a	0	0	0	0	1	0	0	0	0
Fuca1	0	0	0	0	0	0	0	0	1
Kcnc1	0	0	0	0	1	1	0	0	0
Grm1	0	0	0	0	0	1	0	0	0
Atp1a3	0	0	1	0	1	1	0	0	0
B3gat2	0	0	0	0	0	0	0	0	1
Cyth1	0	0	0	0	0	0	0	1	0
Cend1	0	0	0	0	1	0	0	0	0
Apod	0	0	0	0	0	0	0	0	1
Slc1a2	1	0	0	0	0	0	0	0	0
Rplp0	0	0	0	0	0	0	1	0	0
Rpl6	0	0	0	0	0	0	1	0	0
Rpl24	0	0	0	0	0	0	1	0	0
Slc25a18	1	0	0	0	0	0	0	0	0
Rpl18a	0	0	0	0	0	0	1	0	0
Rab3b	0	0	0	0	0	1	0	0	0
Kcnk2	1	0	0	0	0	0	0	0	0
Ntm	1	1	0	0	0	0	0	0	0
Gatm	0	0	0	0	0	0	0	0	1
Mxi1	0	0	0	0	0	0	0	0	1
Gsn	0	0	0	0	0	0	0	0	1
Inpp5j	0	0	1	0	0	0	0	0	0
Luzp2	1	0	0	0	0	0	0	0	0
Gpm6a	1	0	0	0	0	0	0	0	0
Kctd12	0	0	0	0	0	0	0	0	1
Rpl35	0	0	0	0	0	0	1	0	0
Slc6a11	1	0	0	0	0	0	0	0	0
Stmn4	0	0	0	0	1	0	1	0	0
Rab6b	0	0	0	0	1	0	0	0	0
Snhg11	0	1	1	1	1	1	0	1	0
Elavl3	0	0	0	0	0	0	1	0	0
Pde1c	0	0	0	0	1	0	0	0	0
Tspan3	0	0	0	0	0	0	0	0	1
Nkain4	1	0	0	0	0	0	0	0	0
Lamp1	1	0	0	0	0	0	0	0	1
Kcnip2	0	0	0	1	0	0	0	1	0
Mtfp1	0	0	0	0	1	0	0	0	0
Ywhah	0	0	1	0	0	0	0	0	0
Elovl5	1	0	0	0	0	0	0	0	0
Sat1	0	0	0	0	0	0	0	0	1
Rps19	0	0	0	0	0	0	1	0	0
Scg3	1	0	0	0	0	0	0	0	0
Actb	0	0	0	0	0	0	1	0	0
Rps15	0	0	0	0	0	0	1	0	0
Tagln3	0	1	0	0	0	0	0	0	0
Cnih2	0	0	0	0	0	1	0	0	0
Fam181b	0	0	0	0	0	0	0	0	1
Rnf187	0	0	0	0	1	1	0	0	0
