CellID	ClusterName	ClusterID	Region
cell_7812	Inhibitory_Kcnip2	15	Hippocampus
cell_679	Inhibitory_Kcnip2	15	Layer 4
cell_3755	Inhibitory_Kcnip2	15	Layer 4
cell_4794	Inhibitory_Kcnip2	15	Layer 4
cell_4678	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_1394	Inhibitory_Kcnip2	15	White matter
cell_5163	Inhibitory_Kcnip2	15	Layer 6
cell_5501	Inhibitory_Kcnip2	15	Hippocampus
cell_4928	Inhibitory_Kcnip2	15	Layer 4
cell_606	Inhibitory_Kcnip2	15	Layer 4
cell_3114	Inhibitory_Kcnip2	15	Ventricle
cell_4047	Inhibitory_Kcnip2	15	Layer 6
cell_2581	Inhibitory_Kcnip2	15	Layer 6
cell_643	Inhibitory_Kcnip2	15	Layer 4
cell_5558	Inhibitory_Kcnip2	15	Hippocampus
cell_719	Inhibitory_Kcnip2	15	Layer 5
cell_4909	Inhibitory_Kcnip2	15	Layer 4
cell_6094	Inhibitory_Kcnip2	15	Layer 4
cell_5480	Inhibitory_Kcnip2	15	Hippocampus
cell_321	Inhibitory_Kcnip2	15	Layer 3-4
cell_5963	Inhibitory_Kcnip2	15	Layer 4
cell_2133	Inhibitory_Kcnip2	15	Layer 5
cell_7066	Inhibitory_Kcnip2	15	Layer 4
cell_3368	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_1807	Inhibitory_Kcnip2	15	Layer 4
cell_2089	Inhibitory_Kcnip2	15	Layer 5
cell_5507	Inhibitory_Kcnip2	15	Hippocampus
cell_617	Inhibitory_Kcnip2	15	Layer 4
cell_3515	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_6034	Inhibitory_Kcnip2	15	Layer 4
cell_493	Inhibitory_Kcnip2	15	Layer 4
cell_6483	Inhibitory_Kcnip2	15	Hippocampus
cell_545	Inhibitory_Kcnip2	15	Layer 4
cell_3970	Inhibitory_Kcnip2	15	Layer 6
cell_1527	Inhibitory_Kcnip2	15	White matter
cell_7373	Inhibitory_Kcnip2	15	Layer 4
cell_1300	Inhibitory_Kcnip2	15	Internal Capsule Caudoputamen
cell_2131	Inhibitory_Kcnip2	15	Layer 5
cell_601	Inhibitory_Kcnip2	15	Layer 4
cell_5491	Inhibitory_Kcnip2	15	Hippocampus
cell_4796	Inhibitory_Kcnip2	15	Layer 4
cell_4800	Inhibitory_Kcnip2	15	Layer 2-3 medial
cell_6005	Inhibitory_Kcnip2	15	Layer 4
